CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Male,38,80,12,4
2,Female,49,89,15,4
3,Male,40,117,59,1
4,Male,50,52,26,2
5,Male,20,64,26,4
6,Female,35,112,47,3
7,Male,42,96,32,4
8,Male,59,44,10,2
9,Male,48,93,16,4
10,Female,20,105,71,1
11,Male,57,66,17,4
12,Male,63,93,23,4
13,Male,41,44,26,2
14,Male,67,120,85,1
15,Female,49,65,86,0
16,Male,64,95,7,4
17,Female,39,147,14,3
18,Female,40,43,79,0
19,Female,19,146,7,3
20,Male,44,88,9,4
21,Female,59,31,48,2
22,Male,19,98,72,1
23,Female,43,83,59,0
24,Female,34,48,87,0
25,Female,57,20,93,0
26,Female,50,67,82,0
27,Female,26,140,95,1
28,Female,60,57,94,0
29,Female,65,129,39,3
30,Female,56,125,99,1
31,Male,46,94,18,4
32,Male,59,109,59,1
33,Female,43,132,17,3
34,Female,52,22,14,2
35,Female,67,146,31,3
36,Male,42,118,24,3
37,Female,41,146,99,1
38,Male,30,39,60,0
39,Male,24,110,45,3
40,Male,53,107,98,1
41,Male,62,75,3,4
42,Male,37,136,37,3
43,Female,18,65,43,4
44,Female,25,35,40,2
45,Female,63,19,90,0
46,Female,33,106,55,1
47,Female,31,75,87,0
48,Male,29,36,39,2
49,Female,68,84,15,4
50,Female,40,15,4,2
51,Male,32,147,93,1
52,Female,45,26,86,0
53,Male,51,104,25,4
54,Female,19,60,13,4
55,Male,49,48,82,0
56,Female,40,92,33,4
57,Female,39,59,16,4
58,Male,68,87,42,4
59,Male,42,40,66,0
60,Male,39,61,55,0
61,Male,39,135,99,1
62,Male,66,70,42,4
63,Male,69,108,34,3
64,Male,59,121,30,3
65,Male,23,77,13,4
66,Female,32,62,13,4
67,Female,60,75,18,4
68,Male,54,95,32,4
69,Female,50,40,96,0
70,Female,25,50,99,0
71,Female,70,15,39,2
72,Female,61,22,46,2
73,Male,61,127,29,3
74,Female,22,113,62,1
75,Male,56,61,93,0
76,Female,21,141,62,1
77,Female,23,70,57,0
78,Female,62,28,16,2
79,Male,49,42,56,0
80,Female,69,92,10,4
81,Male,47,144,30,3
82,Female,64,123,25,3
83,Male,52,28,84,0
84,Female,57,70,5,4
85,Male,69,129,65,1
86,Male,33,21,94,0
87,Female,30,17,49,2
88,Male,67,125,3,3
89,Female,59,121,45,3
90,Female,47,32,14,2
91,Female,36,52,30,2
92,Female,34,129,68,1
93,Female,36,29,18,2
94,Female,45,133,62,1
95,Female,43,42,37,2
96,Female,54,53,25,2
97,Female,43,31,48,2
98,Female,70,100,65,1
99,Female,40,140,53,3
100,Male,26,58,79,0
101,Male,29,39,73,0
102,Female,70,27,15,2
103,Female,18,39,49,2
104,Female,18,82,88,0
105,Female,64,81,68,0
106,Female,51,123,12,3
107,Female,49,125,59,1
108,Female,65,125,37,3
109,Female,42,48,61,0
110,Male,57,125,43,3
111,Female,62,22,70,0
112,Male,70,127,39,3
113,Female,18,97,56,1
114,Female,33,56,63,0
115,Male,56,115,46,3
116,Female,22,20,88,0
117,Male,39,40,11,2
118,Female,46,78,62,0
119,Female,20,73,77,0
120,Male,29,123,98,1
121,Female,43,135,25,3
122,Male,33,47,71,0
123,Female,68,35,52,2
124,Male,54,84,4,4
125,Male,39,126,59,1
126,Female,46,18,72,0
127,Female,31,108,20,3
128,Male,45,89,93,1
129,Female,22,76,63,0
130,Female,64,108,54,1
131,Female,66,109,74,1
132,Male,47,69,98,0
133,Male,63,145,57,1
134,Male,69,45,90,0
135,Male,22,54,41,2
136,Male,29,50,3,2
