CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,38,80,12
2,Female,49,89,15
3,Male,40,117,59
4,Male,50,52,26
5,Male,20,64,26
6,Female,35,112,47
7,Male,42,96,32
8,Male,59,44,10
9,Male,48,93,16
10,Female,20,105,71
11,Male,57,66,17
12,Male,63,93,23
13,Male,41,44,26
14,Male,67,120,85
15,Female,49,65,86
16,Male,64,95,7
17,Female,39,147,14
18,Female,40,43,79
19,Female,19,146,7
20,Male,44,88,9
21,Female,59,31,48
22,Male,19,98,72
23,Female,43,83,59
24,Female,34,48,87
25,Female,57,20,93
26,Female,50,67,82
27,Female,26,140,95
28,Female,60,57,94
29,Female,65,129,39
30,Female,56,125,99
31,Male,46,94,18
32,Male,59,109,59
33,Female,43,132,17
34,Female,52,22,14
35,Female,67,146,31
36,Male,42,118,24
37,Female,41,146,99
38,Male,30,39,60
39,Male,24,110,45
40,Male,53,107,98
41,Male,62,75,3
42,Male,37,136,37
43,Female,18,65,43
44,Female,25,35,40
45,Female,63,19,90
46,Female,33,106,55
47,Female,31,75,87
48,Male,29,36,39
49,Female,68,84,15
50,Female,40,15,4
51,Male,32,147,93
52,Female,45,26,86
53,Male,51,104,25
54,Female,19,60,13
55,Male,49,48,82
56,Female,40,92,33
57,Female,39,59,16
58,Male,68,87,42
59,Male,42,40,66
60,Male,39,61,55
61,Male,39,135,99
62,Male,66,70,42
63,Male,69,108,34
64,Male,59,121,30
65,Male,23,77,13
66,Female,32,62,13
67,Female,60,75,18
68,Male,54,95,32
69,Female,50,40,96
70,Female,25,50,99
71,Female,70,15,39
72,Female,61,22,46
73,Male,61,127,29
74,Female,22,113,62
75,Male,56,61,93
76,Female,21,141,62
77,Female,23,70,57
78,Female,62,28,16
79,Male,49,42,56
80,Female,69,92,10
81,Male,47,144,30
82,Female,64,123,25
83,Male,52,28,84
84,Female,57,70,5
85,Male,69,129,65
86,Male,33,21,94
87,Female,30,17,49
88,Male,67,125,3
89,Female,59,121,45
90,Female,47,32,14
91,Female,36,52,30
92,Female,34,129,68
93,Female,36,29,18
94,Female,45,133,62
95,Female,43,42,37
96,Female,54,53,25
97,Female,43,31,48
98,Female,70,100,65
99,Female,40,140,53
100,Male,26,58,79
101,Male,29,39,73
102,Female,70,27,15
103,Female,18,39,49
104,Female,18,82,88
105,Female,64,81,68
106,Female,51,123,12
107,Female,49,125,59
108,Female,65,125,37
109,Female,42,48,61
110,Male,57,125,43
111,Female,62,22,70
112,Male,70,127,39
113,Female,18,97,56
114,Female,33,56,63
115,Male,56,115,46
116,Female,22,20,88
117,Male,39,40,11
118,Female,46,78,62
119,Female,20,73,77
120,Male,29,123,98
121,Female,43,135,25
122,Male,33,47,71
123,Female,68,35,52
124,Male,54,84,4
125,Male,39,126,59
126,Female,46,18,72
127,Female,31,108,20
128,Male,45,89,93
129,Female,22,76,63
130,Female,64,108,54
131,Female,66,109,74
132,Male,47,69,98
133,Male,63,145,57
134,Male,69,45,90
135,Male,22,54,41
136,Male,29,50,3
137,Male,33,20,6
138,Male,43,80,5
139,Male,43,89,5
140,Male,65,18,54
141,Female,38,93,47
142,Male,56,148,87
143,Female,53,132,49
144,Female,50,127,9
145,Female,47,108,99
146,Male,54,76,20
147,Male,40,93,61
148,Male,27,40,35
149,Male,22,58,50
150,Female,53,147,82
151,Male,51,84,62
152,Male,69,132,17
153,Male,48,82,88
154,Male,27,33,3
155,Male,36,34,32
156,Female,49,127,99
157,Male,18,61,13
158,Female,22,15,89
159,Male,62,104,73
160,Female,21,78,68
161,Male,33,52,14
162,Male,41,51,98
163,Female,33,140,11
164,Female,19,114,56
165,Female,66,91,67
166,Male,45,17,92
167,Female,49,148,29
168,Male,44,24,9
169,Male,37,19,67
170,Female,41,144,25
171,Female,29,27,98
172,Male,67,144,76
173,Male,52,98,42
174,Female,50,79,9
175,Female,50,77,79
176,Female,68,115,40
177,Male,60,87,25
178,Male,54,31,5
179,Male,29,23,11
180,Male,20,52,59
181,Male,18,108,98
182,Male,50,109,88
183,Female,57,63,79
184,Male,27,83,38
185,Male,60,76,72
186,Male,61,92,5
187,Female,46,131,48
188,Male,30,134,90
189,Male,29,90,18
190,Female,48,49,70
191,Male,63,15,37
192,Male,19,54,60
193,Male,68,78,48
194,Male,67,74,77
195,Male,52,78,28
196,Female,40,107,69
197,Female,34,86,77
198,Female,43,25,81
199,Male,25,119,40
200,Male,46,28,45
201,Male,43,74,96
202,Female,27,44,62
203,Male,43,49,93
204,Male,51,19,58
205,Female,68,97,67
206,Male,58,137,56
207,Female,24,92,40
208,Female,21,76,98
209,Female,70,146,40
210,Male,67,103,91
211,Male,62,56,77
212,Male,28,103,33
213,Male,46,54,6
214,Male,53,86,88
215,Male,42,53,19
216,Male,38,118,80
217,Female,53,28,40
218,Male,27,46,92
219,Female,54,139,97
220,Male,26,111,59
221,Male,41,37,59
222,Male,52,77,48
223,Female,66,67,41
224,Female,52,118,13
225,Female,65,118,45
226,Female,53,53,89
227,Male,35,148,53
228,Female,66,81,42
229,Male,56,149,100
230,Male,49,56,63
231,Female,41,29,27
232,Female,40,125,38
233,Female,49,47,60
234,Female,54,52,7
235,Female,29,111,5
236,Female,66,47,45
237,Female,30,100,58
238,Female,40,80,31
239,Male,42,24,23
240,Female,52,19,42
241,Female,58,137,10
242,Male,47,88,32
243,Female,34,111,53
244,Male,66,132,30
245,Male,37,52,39
246,Female,65,61,31
247,Male,42,123,82
248,Male,39,29,100
249,Male,30,19,2
250,Male,36,61,78
251,Female,66,82,77
252,Male,53,90,93
253,Female,29,144,12
254,Male,58,109,39
255,Male,36,129,66
256,Male,29,50,96
257,Male,26,40,13
258,Female,24,57,46
259,Female,45,41,27
260,Male,31,83,17
261,Male,48,25,95
262,Female,69,88,98
263,Male,36,118,60
264,Male,64,52,64
265,Male,33,148,88
266,Female,70,37,35
267,Female,22,61,70
268,Female,52,104,83
269,Male,29,60,30
270,Male,42,121,71
271,Female,69,118,74
272,Female,38,125,96
273,Female,53,118,98
274,Female,70,74,63
275,Male,40,114,28
276,Female,33,82,60
277,Male,56,147,79
278,Female,62,134,94
279,Male,70,51,37
280,Female,59,86,93
281,Female,56,141,22
282,Female,31,120,68
283,Female,48,106,20
284,Male,22,45,96
285,Female,52,136,100
286,Male,40,65,68
287,Male,46,43,91
288,Male,60,54,64
289,Male,28,55,17
290,Female,35,25,12
291,Male,64,15,22
292,Male,29,60,17
293,Male,26,115,10
294,Female,27,104,65
295,Female,61,124,22
296,Female,34,71,90
297,Female,55,15,82
298,Male,24,77,50
299,Male,63,69,14
300,Female,30,129,64
301,Male,57,67,47
302,Male,59,71,29
303,Male,26,131,76
304,Female,67,49,36
305,Female,44,77,99
306,Male,19,39,52
307,Female,22,104,76
308,Female,46,89,7
309,Female,54,52,29
310,Female,55,144,11
311,Female,36,149,33
312,Male,25,105,6
313,Female,65,31,79
314,Male,62,142,32
315,Male,18,122,51
316,Female,39,39,75
317,Male,69,102,58
318,Male,34,43,87
319,Male,24,77,26
320,Female,42,128,98
321,Female,62,63,46
322,Male,21,95,98
323,Female,53,98,29
324,Female,23,119,4
325,Female,48,132,81
326,Female,36,100,99
327,Male,61,77,13
328,Male,56,118,39
329,Female,44,63,15
330,Female,27,85,29
331,Male,43,15,29
332,Male,36,137,75
333,Female,56,76,32
334,Male,20,46,2
335,Female,62,43,47
336,Female,30,63,78
337,Male,67,44,84
338,Male,45,33,22
339,Female,37,32,75
340,Female,45,15,27
341,Male,25,92,67
342,Female,58,129,81
343,Male,56,127,56
344,Female,18,128,92
345,Male,20,77,93
346,Male,30,146,21
347,Male,45,143,47
348,Female,66,22,80
349,Female,42,69,59
350,Male,50,117,84
351,Female,55,145,6
352,Male,70,46,19
353,Male,23,24,57
354,Female,61,124,69
355,Female,62,138,3
356,Male,49,101,1
357,Female,62,69,58
358,Female,64,46,38
359,Male,38,149,15
360,Male,33,107,34
361,Female,38,22,61
362,Male,28,79,35
363,Male,54,71,64
364,Female,53,81,25
365,Male,52,86,24
366,Male,36,68,12
367,Female,37,81,18
368,Female,35,65,15
369,Male,64,111,80
370,Male,58,106,27
371,Female,66,22,72
372,Female,31,49,60
373,Female,32,110,46
374,Female,48,102,89
375,Male,18,92,17
376,Female,70,46,93
377,Female,20,134,53
378,Male,33,60,8
379,Female,40,69,79
380,Male,28,21,27
381,Female,29,88,46
382,Female,27,21,50
383,Female,49,99,71
384,Male,33,126,3
385,Male,25,139,93
386,Female,55,50,64
387,Male,29,43,44
388,Male,41,96,53
389,Male,45,16,24
390,Male,70,143,60
391,Male,25,61,3
392,Male,45,25,20
393,Female,53,144,46
394,Female,43,133,15
395,Male,25,34,25
396,Female,67,19,94
397,Female,45,51,78
398,Female,45,67,71
399,Female,54,113,17
400,Male,58,100,84
401,Female,53,122,100
402,Female,44,38,9
403,Male,34,95,38
404,Male,26,134,48
405,Female,50,73,60
406,Female,70,142,63
407,Female,37,128,86
408,Female,30,129,2
409,Female,45,28,88
410,Female,65,23,72
411,Male,46,54,11
412,Female,30,39,64
413,Female,63,117,77
414,Male,52,36,81
415,Male,23,18,72
416,Male,35,43,21
417,Male,68,123,18
418,Female,22,112,94
419,Female,64,51,64
420,Female,42,89,82
421,Female,19,84,95
422,Female,27,142,38
423,Female,47,99,32
424,Male,67,56,11
425,Female,62,114,45
426,Male,22,55,89
427,Male,50,48,33
428,Female,18,31,41
429,Male,35,136,8
430,Female,49,90,11
431,Male,64,101,86
432,Female,66,131,51
433,Male,28,120,88
434,Female,38,100,41
435,Female,43,41,17
436,Female,42,71,76
437,Female,39,45,46
438,Female,44,148,32
439,Male,66,112,79
440,Male,30,26,80
441,Male,50,67,54
442,Female,51,136,86
443,Male,58,60,92
444,Female,52,78,20
445,Female,18,144,33
446,Male,38,68,74
447,Male,65,121,40
448,Female,23,65,32
449,Male,45,50,97
450,Female,34,129,2
451,Female,22,40,97
452,Female,48,43,33
453,Female,22,25,77
454,Female,55,54,30
455,Male,20,25,33
456,Male,70,127,77
457,Female,40,53,26
458,Female,54,68,22
459,Male,70,112,66
460,Male,54,69,38
461,Female,27,125,90
462,Male,27,83,46
463,Female,36,70,15
464,Male,34,47,98
465,Female,38,50,44
466,Male,31,95,49
467,Female,26,123,75
468,Male,63,87,61
469,Male,18,54,67
470,Female,68,31,6
471,Male,62,143,9
472,Female,30,75,6
473,Male,21,118,73
474,Female,18,56,95
475,Male,66,39,32
476,Female,57,53,41
477,Male,49,49,76
478,Female,51,145,8
479,Male,45,122,72
480,Female,48,116,50
481,Female,25,112,92
482,Female,56,26,62
483,Male,43,33,84
484,Female,51,115,62
485,Male,20,58,7
486,Female,67,63,75
487,Male,29,31,84
488,Female,18,88,80
489,Male,61,71,4
490,Male,22,69,6
491,Female,47,61,58
492,Male,47,26,22
493,Male,34,76,26
494,Female,65,94,3
495,Male,64,97,41
496,Male,40,22,60
497,Male,32,95,14
498,Female,54,132,75
499,Male,38,39,82
500,Female,31,103,12
