Datetime,Usage,hour,day,month,weekday,weekend,lag1,lag24
2006-12-16 00:00:00,1.901,0,16,12,5,1,1.901,1.901
2006-12-16 01:00:00,2.021,1,16,12,5,1,1.901,1.901
2006-12-16 02:00:00,2.245,2,16,12,5,1,2.021,1.901
2006-12-16 03:00:00,2.193,3,16,12,5,1,2.245,1.901
2006-12-16 04:00:00,2.321,4,16,12,5,1,2.193,1.901
2006-12-16 05:00:00,2.341,5,16,12,5,1,2.321,1.901
2006-12-16 06:00:00,2.272,6,16,12,5,1,2.341,1.901
2006-12-16 07:00:00,2.44,7,16,12,5,1,2.272,1.901
2006-12-16 08:00:00,2.401,8,16,12,5,1,2.44,1.901
2006-12-16 09:00:00,2.445,9,16,12,5,1,2.401,1.901
2006-12-16 10:00:00,2.528,10,16,12,5,1,2.445,1.901
2006-12-16 11:00:00,2.403,11,16,12,5,1,2.528,1.901
2006-12-16 12:00:00,2.708,12,16,12,5,1,2.403,1.901
2006-12-16 13:00:00,2.551,13,16,12,5,1,2.708,1.901
2006-12-16 14:00:00,2.744,14,16,12,5,1,2.551,1.901
2006-12-16 15:00:00,2.678,15,16,12,5,1,2.744,1.901
2006-12-16 16:00:00,2.834,16,16,12,5,1,2.678,1.901
2006-12-16 17:00:00,2.626,17,16,12,5,1,2.834,1.901
2006-12-16 18:00:00,2.667,18,16,12,5,1,2.626,1.901
2006-12-16 19:00:00,2.734,19,16,12,5,1,2.667,1.901
2006-12-16 20:00:00,2.476,20,16,12,5,1,2.734,1.901
2006-12-16 21:00:00,2.772,21,16,12,5,1,2.476,1.901
2006-12-16 22:00:00,2.83,22,16,12,5,1,2.772,1.901
2006-12-16 23:00:00,2.771,23,16,12,5,1,2.83,1.901
2006-12-17 00:00:00,2.712,0,17,12,6,1,2.771,1.901
2006-12-17 01:00:00,2.595,1,17,12,6,1,2.712,2.021
2006-12-17 02:00:00,2.708,2,17,12,6,1,2.595,2.245
2006-12-17 03:00:00,2.652,3,17,12,6,1,2.708,2.193
2006-12-17 04:00:00,2.545,4,17,12,6,1,2.652,2.321
2006-12-17 05:00:00,2.465,5,17,12,6,1,2.545,2.341
2006-12-17 06:00:00,2.383,6,17,12,6,1,2.465,2.272
2006-12-17 07:00:00,2.248,7,17,12,6,1,2.383,2.44
2006-12-17 08:00:00,2.443,8,17,12,6,1,2.248,2.401
2006-12-17 09:00:00,2.05,9,17,12,6,1,2.443,2.445
2006-12-17 10:00:00,2.175,10,17,12,6,1,2.05,2.528
2006-12-17 11:00:00,2.173,11,17,12,6,1,2.175,2.403
2006-12-17 12:00:00,2.185,12,17,12,6,1,2.173,2.708
2006-12-17 13:00:00,2.217,13,17,12,6,1,2.185,2.551
2006-12-17 14:00:00,2.082,14,17,12,6,1,2.217,2.744
2006-12-17 15:00:00,1.895,15,17,12,6,1,2.082,2.678
2006-12-17 16:00:00,1.939,16,17,12,6,1,1.895,2.834
2006-12-17 17:00:00,1.684,17,17,12,6,1,1.939,2.626
2006-12-17 18:00:00,1.897,18,17,12,6,1,1.684,2.667
2006-12-17 19:00:00,1.685,19,17,12,6,1,1.897,2.734
2006-12-17 20:00:00,1.582,20,17,12,6,1,1.685,2.476
2006-12-17 21:00:00,1.536,21,17,12,6,1,1.582,2.772
2006-12-17 22:00:00,1.547,22,17,12,6,1,1.536,2.83
2006-12-17 23:00:00,1.471,23,17,12,6,1,1.547,2.771
2006-12-18 00:00:00,1.699,0,18,12,0,0,1.471,2.712
2006-12-18 01:00:00,1.362,1,18,12,0,0,1.699,2.595
2006-12-18 02:00:00,1.405,2,18,12,0,0,1.362,2.708
2006-12-18 03:00:00,1.376,3,18,12,0,0,1.405,2.652
2006-12-18 04:00:00,1.353,4,18,12,0,0,1.376,2.545
2006-12-18 05:00:00,1.336,5,18,12,0,0,1.353,2.465
2006-12-18 06:00:00,1.268,6,18,12,0,0,1.336,2.383
2006-12-18 07:00:00,1.247,7,18,12,0,0,1.268,2.248
2006-12-18 08:00:00,1.215,8,18,12,0,0,1.247,2.443
2006-12-18 09:00:00,1.152,9,18,12,0,0,1.215,2.05
2006-12-18 10:00:00,1.327,10,18,12,0,0,1.152,2.175
2006-12-18 11:00:00,1.413,11,18,12,0,0,1.327,2.173
2006-12-18 12:00:00,1.274,12,18,12,0,0,1.413,2.185
2006-12-18 13:00:00,1.292,13,18,12,0,0,1.274,2.217
2006-12-18 14:00:00,1.339,14,18,12,0,0,1.292,2.082
2006-12-18 15:00:00,1.353,15,18,12,0,0,1.339,1.895
2006-12-18 16:00:00,1.287,16,18,12,0,0,1.353,1.939
2006-12-18 17:00:00,1.603,17,18,12,0,0,1.287,1.684
2006-12-18 18:00:00,1.55,18,18,12,0,0,1.603,1.897
2006-12-18 19:00:00,1.478,19,18,12,0,0,1.55,1.685
2006-12-18 20:00:00,1.625,20,18,12,0,0,1.478,1.582
2006-12-18 21:00:00,1.6,21,18,12,0,0,1.625,1.536
2006-12-18 22:00:00,1.674,22,18,12,0,0,1.6,1.547
2006-12-18 23:00:00,1.786,23,18,12,0,0,1.674,1.471
2006-12-19 00:00:00,1.9,0,19,12,1,0,1.786,1.699
2006-12-19 01:00:00,2.013,1,19,12,1,0,1.9,1.362
2006-12-19 02:00:00,2.089,2,19,12,1,0,2.013,1.405
2006-12-19 03:00:00,1.952,3,19,12,1,0,2.089,1.376
2006-12-19 04:00:00,1.985,4,19,12,1,0,1.952,1.353
2006-12-19 05:00:00,2.103,5,19,12,1,0,1.985,1.336
2006-12-19 06:00:00,2.163,6,19,12,1,0,2.103,1.268
2006-12-19 07:00:00,2.134,7,19,12,1,0,2.163,1.247
2006-12-19 08:00:00,2.2,8,19,12,1,0,2.134,1.215
2006-12-19 09:00:00,2.396,9,19,12,1,0,2.2,1.152
2006-12-19 10:00:00,2.53,10,19,12,1,0,2.396,1.327
2006-12-19 11:00:00,2.392,11,19,12,1,0,2.53,1.413
2006-12-19 12:00:00,2.395,12,19,12,1,0,2.392,1.274
2006-12-19 13:00:00,2.474,13,19,12,1,0,2.395,1.292
2006-12-19 14:00:00,2.442,14,19,12,1,0,2.474,1.339
2006-12-19 15:00:00,2.549,15,19,12,1,0,2.442,1.353
2006-12-19 16:00:00,2.649,16,19,12,1,0,2.549,1.287
2006-12-19 17:00:00,2.626,17,19,12,1,0,2.649,1.603
2006-12-19 18:00:00,2.78,18,19,12,1,0,2.626,1.55
2006-12-19 19:00:00,2.69,19,19,12,1,0,2.78,1.478
