Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity
16/12/2006,00:00:00,2.046,0.227,239.881,9.434
16/12/2006,00:01:00,1.871,0.218,238.541,9.375
16/12/2006,00:02:00,2.166,0.186,239.171,11.325
16/12/2006,00:03:00,2.221,0.17,241.268,10.33
16/12/2006,00:04:00,1.814,0.141,240.006,9.788
16/12/2006,00:05:00,1.937,0.189,240.68,10.499
16/12/2006,00:06:00,2.178,0.248,241.34,7.893
16/12/2006,00:07:00,2.138,0.209,239.25,9.957
16/12/2006,00:08:00,2.208,0.189,241.512,11.998
16/12/2006,00:09:00,2.108,0.209,240.758,10.132
16/12/2006,00:10:00,2.394,0.169,237.53,10.068
16/12/2006,00:11:00,2.403,0.194,242.885,10.548
16/12/2006,00:12:00,2.321,0.202,238.999,10.896
16/12/2006,00:13:00,2.505,0.198,236.69,8.003
16/12/2006,00:14:00,2.43,0.216,237.91,8.318
16/12/2006,00:15:00,2.255,0.207,237.958,10.21
16/12/2006,00:16:00,2.462,0.213,240.104,9.285
16/12/2006,00:17:00,2.286,0.186,239.452,11.312
16/12/2006,00:18:00,2.583,0.218,239.326,9.685
16/12/2006,00:19:00,2.466,0.233,241.239,8.065
16/12/2006,00:20:00,2.467,0.181,240.68,8.732
16/12/2006,00:21:00,2.413,0.182,240.632,7.25
16/12/2006,00:22:00,2.719,0.227,240.82,9.766
16/12/2006,00:23:00,2.532,0.196,241.232,9.812
16/12/2006,00:24:00,2.51,0.228,235.784,9.576
16/12/2006,00:25:00,2.539,0.191,239.271,11.079
16/12/2006,00:26:00,2.69,0.229,235.64,11.199
16/12/2006,00:27:00,2.681,0.203,240.072,9.83
16/12/2006,00:28:00,2.705,0.205,239.991,7.865
16/12/2006,00:29:00,2.723,0.231,242.091,10.617
16/12/2006,00:30:00,2.994,0.193,242.375,10.555
16/12/2006,00:31:00,2.626,0.181,240.406,10.309
16/12/2006,00:32:00,2.624,0.191,238.999,10.981
16/12/2006,00:33:00,2.591,0.209,240.97,8.835
16/12/2006,00:34:00,2.817,0.169,238.944,12.009
16/12/2006,00:35:00,2.905,0.213,239.997,9.041
