iter	Passed	Remaining
0	53	15947
1	54	8121
2	55	5513
3	56	4210
4	58	3428
5	59	2901
6	60	2524
7	61	2242
8	62	2022
9	63	1847
10	64	1703
11	65	1583
12	67	1481
13	68	1393
14	69	1318
15	70	1251
16	71	1191
17	72	1141
18	73	1093
19	75	1051
20	76	1012
21	77	977
22	78	945
23	79	915
24	80	888
25	81	863
26	83	840
27	84	818
28	85	797
29	86	778
30	88	765
31	89	748
32	90	732
33	91	717
34	92	703
35	94	689
36	95	676
37	96	664
38	97	652
39	98	640
40	99	629
41	100	619
42	102	610
43	103	603
44	104	593
45	105	584
46	107	576
47	108	567
48	109	559
49	110	551
50	111	543
51	112	536
52	113	528
53	114	521
54	115	514
55	116	508
56	118	503
57	119	497
58	120	490
59	121	484
60	122	478
61	123	472
62	124	467
63	125	462
64	126	457
65	127	452
66	128	447
67	129	442
68	130	437
69	131	433
70	133	429
71	134	425
72	135	420
73	136	416
74	137	412
75	138	408
76	139	404
77	140	400
78	141	396
79	142	392
80	143	388
81	145	385
82	146	382
83	147	378
84	148	375
85	149	372
86	150	369
87	151	366
88	152	362
89	154	359
90	155	356
91	156	353
92	157	350
93	158	347
94	159	344
95	160	341
96	161	338
97	163	336
98	165	335
99	166	333
100	167	330
101	168	327
102	169	324
103	170	321
104	171	319
105	172	316
106	174	313
107	175	311
108	176	308
109	177	306
110	178	303
111	179	300
112	180	298
113	181	296
114	182	293
115	183	291
116	184	288
117	185	286
118	186	283
119	187	281
120	188	279
121	189	276
122	190	274
123	191	272
124	192	270
125	193	267
126	195	265
127	196	264
128	197	262
129	198	259
130	199	257
131	200	255
132	201	253
133	203	251
134	204	249
135	205	247
136	206	245
137	207	243
138	208	241
139	209	239
140	210	237
141	212	236
142	213	234
143	214	232
144	215	230
145	217	228
146	218	227
147	219	225
148	220	223
149	221	221
150	222	219
151	223	217
152	224	215
153	225	213
154	226	212
155	229	211
156	230	209
157	231	207
158	232	205
159	233	204
160	234	202
161	235	200
162	236	198
163	237	196
164	238	195
165	239	193
166	240	191
167	241	189
168	242	187
169	243	186
170	244	184
171	245	182
172	246	181
173	247	179
174	248	177
175	250	176
176	251	174
177	252	173
178	253	171
179	254	169
180	255	168
181	256	166
182	257	164
183	258	163
184	259	161
185	260	159
186	261	158
187	262	156
188	263	154
189	264	153
190	265	151
191	266	150
192	267	148
193	268	146
194	269	145
195	270	143
196	271	142
197	272	140
198	273	138
199	276	138
200	277	136
201	278	135
202	279	133
203	280	131
204	281	130
205	282	128
206	283	127
207	284	125
208	285	124
209	286	122
210	287	121
211	288	119
212	289	118
213	291	117
214	292	115
215	293	114
216	294	112
217	295	111
218	296	109
219	297	108
220	298	106
221	299	105
222	300	103
223	301	102
224	302	100
225	303	99
226	304	97
227	305	96
228	306	95
229	307	93
230	308	92
231	309	90
232	310	89
233	311	87
234	312	86
235	313	85
236	314	83
237	316	82
238	317	80
239	318	79
240	319	78
241	320	76
242	321	75
243	323	74
244	324	72
245	325	71
246	326	70
247	327	68
248	328	67
249	329	65
250	330	64
251	331	63
252	332	61
253	333	60
254	334	59
255	335	57
256	336	56
257	338	55
258	339	53
259	340	52
260	341	51
261	342	49
262	343	48
263	344	47
264	345	45
265	346	44
266	348	43
267	349	41
268	350	40
269	351	39
270	352	37
271	353	36
272	356	35
273	357	33
274	358	32
275	359	31
276	360	29
277	361	28
278	362	27
279	363	25
280	364	24
281	365	23
282	366	22
283	367	20
284	368	19
285	370	18
286	371	16
287	372	15
288	373	14
289	374	12
290	375	11
291	376	10
292	377	9
293	378	7
294	379	6
295	380	5
296	381	3
297	383	2
298	384	1
299	385	0
