age,income,loan_amount,credit_score,employment_years,num_dependents,debt_ratio,risk_score,TARGET
59,99025,32845,705,33,4,0.3316818892156148,0.2951154708439986,0
49,59198,26890,755,3,3,0.4542344804776546,0.25401472583723894,0
35,70588,28376,460,27,0,0.40199873735575065,0.517424730308079,1
63,56322,33679,759,37,0,0.597975148016937,0.21937099666051668,0
28,58198,33548,849,30,3,0.5764395503381952,0.26138575798628105,0
41,49882,30286,799,26,2,0.6071443997291429,0.3313823639647246,0
59,61014,21449,808,4,1,0.3515375741051379,0.28127102921136166,0
39,69891,16175,780,24,0,0.23142761543860216,0.16263647217524482,0
43,93566,21034,413,2,1,0.2248095255797282,0.4517581857731824,0
31,22510,14655,660,32,3,0.6510385085720521,0.4301396051595175,0
31,92216,1000,640,3,2,0.010843939786844203,0.22548890694266246,0
44,70559,17205,748,24,2,0.24383444575730123,0.21698244482563653,0
56,52644,23575,479,19,2,0.447809461729887,0.40952214199005754,0
60,49045,14127,706,33,3,0.2880388423843789,0.319591901510356,0
44,80873,18072,495,25,4,0.22345979565047747,0.4760865111654101,0
23,64579,18459,765,4,4,0.2858387998436271,0.296323724656274,0
42,29318,33568,610,34,1,1.1449152092345092,0.6541935547963251,1
22,67261,16405,561,27,4,0.24390490370118353,0.33993638599458476,0
44,82887,33566,718,28,4,0.4049580084279483,0.22252597106226749,0
64,77157,1000,705,8,2,0.01296036963547087,0.15849144076814958,0
50,47462,33478,442,37,2,0.7053486606407867,0.6729697843989184,1
58,33159,32974,641,5,1,0.9943670699565434,0.6195354462672962,1
22,53480,29022,615,18,0,0.5426647823530455,0.42878270480333436,0
41,125079,1000,400,10,1,0.007994838371059639,0.34676013926086224,0
53,29100,30188,543,1,1,1.03738181293075,0.7126129206801183,1
32,43145,19498,789,8,3,0.45192308761912026,0.33134515238241313,0
42,67840,1000,311,20,3,0.014740166724652492,0.4367644755640702,0
64,57509,32981,538,23,1,0.5734914479652267,0.5101395597730156,1
45,55995,34441,341,33,1,0.6150649322167197,0.6094142274404996,1
47,100494,1000,728,21,1,0.00995070223496581,0.13970880480908926,0
62,42934,21754,457,2,4,0.5066683319199992,0.5035344027221555,1
48,59714,33885,515,11,3,0.5674569278682355,0.4695123454903195,0
36,64038,32301,761,27,1,0.5044041609182774,0.3394024400897606,0
35,43905,28360,433,29,2,0.6459353732970582,0.6485307675117696,1
64,31186,1000,366,25,2,0.0320636705246886,0.4365064564834401,0
23,65386,27295,306,20,4,0.41744200336194026,0.647014159728757,1
57,96273,17818,825,27,4,0.185085273877047,0.052652975180573824,0
27,68091,29958,372,25,0,0.4399677764106018,0.5198822618522658,1
41,61801,22561,698,32,0,0.36506018692248315,0.27928105046754176,0
29,61654,19801,704,20,0,0.32115786883748254,0.20791038693242198,0
59,54831,26409,429,34,4,0.48162984582409685,0.5432125603884187,1
38,83669,18280,765,33,4,0.2184860172021604,0.30143465262419467,0
24,49891,19757,505,17,4,0.39599867733737915,0.4862972871753527,0
45,32864,14447,565,10,2,0.43960542784556866,0.4458600074474132,0
34,28366,3945,836,22,4,0.13909761030126977,0.18452939678908686,0
29,61580,25678,552,21,2,0.4169867257970871,0.3734528177983464,0
46,81213,11939,588,16,0,0.14701371622990517,0.2590120362551274,0
22,64749,17992,463,4,0,0.2778669565154386,0.4585852693450328,0
40,53652,22869,394,10,0,0.4262478049753398,0.5930998226252678,1
48,69168,1000,409,29,1,0.01445717097790706,0.3485070445842959,0
27,63724,1386,635,14,1,0.021757639729329505,0.17316965146170998,0
64,76523,17002,537,26,3,0.22218433931401016,0.38996246415555963,0
28,86530,24545,680,34,3,0.28366265001657465,0.3092845872732099,0
55,40912,27440,735,32,3,0.6706975849154687,0.4812598583430975,0
34,13208,4086,782,19,1,0.3093976665324135,0.14340339756847328,0
37,52969,26366,324,15,1,0.4977569081096998,0.5876583223167827,1
56,39613,17549,416,33,3,0.44300571049652004,0.4969860548085117,0
60,76639,11168,781,1,3,0.14572551786507076,0.11786804161786321,0
24,45513,13514,691,34,4,0.296928092610466,0.3332389110301785,0
22,22484,28018,836,39,3,1.246076982900859,0.6091276712465729,1
26,48515,22740,378,27,4,0.46870316450049665,0.5782882727063293,1
62,30160,20503,472,38,2,0.6797757424802803,0.6254331427898763,1
24,91803,22434,311,5,1,0.2443784547610139,0.5653313795542844,1
49,69432,29280,427,8,3,0.4217104822426136,0.6330582859134604,1
38,72951,19029,391,19,1,0.26084222533313856,0.46164384462279673,0
46,70720,20543,842,0,1,0.29047998059090513,0.11002359065632353,0
64,76803,31381,831,7,1,0.40859244949416734,0.14713369302637808,0
54,82666,16684,746,22,2,0.20182133289292353,0.14127621345032143,0
30,49205,26181,689,2,0,0.5320765062984123,0.3924148720579783,0
56,31600,14962,342,3,3,0.47348475900746556,0.5430996752421757,1
34,43061,15841,553,24,0,0.3678697444241149,0.42403873922287827,0
51,59095,18959,429,37,0,0.3208254368776853,0.39109211306108627,0
35,10000,25152,359,14,0,2.51502135085168,1.0,1
28,82854,31941,766,20,1,0.3855122812015893,0.22771990997378472,0
34,22065,20965,586,34,4,0.950122351675019,0.6168834372108564,1
43,71981,5001,816,13,1,0.06948363032489574,0.11912009872262343,0
